x,n,p
9.889674757844293e-5,9.986333070920952e21,2.180876864656287e7
9.94753376906318e-5,7.55675321973692e21,528146.7455388453
0.00010002,3722.459193744627,1.4459808094244478e14
0.00010002,4.0158993687180935,1.1371428357261889e22
0.00010002021367521367,6.604622079311368,1.1971887153737567e22
0.0001000204377490648,9.082186235487383,1.2632447010279933e22
0.00010002067272760956,11.434505225760036,1.3360635192692097e22
0.00010002091914153165,13.647075767811064,1.4165110369062262e22
0.00010002117754734085,15.705015744571199,1.5055859910912204e22
0.00010002144852862983,17.593101926946293,1.6044436399589773e22
0.00010002173269739212,19.295806082284408,1.7144242171565314e22
0.00010002203069540435,20.797327780744304,1.8370873005482032e22
0.00010002234319567559,22.081622066088222,1.974253499517585e22
0.0001000226709039673,23.132420080055958,2.1280552501206007e22
0.00010002301456038727,23.933240749899817,2.3009990153884823e22
0.00010002337494106112,24.4673918141278,2.496041865795835e22
0.0001000237528598851,24.717958836390846,2.716686329472086e22
0.00010002414917036419,24.667781527521438,2.9670986511052595e22
0.00010002456476753976,24.29941778424587,3.252257327494847e22
0.00010002499999999999,23.596250461031882,3.5776804905748194e22
0.00010002534722222221,22.819671176658968,3.858515983581395e22
0.00010002569444444443,21.86643026274953,4.159584107450044e22
0.00010002604166666665,20.748077189899313,4.482286833889002e22
0.00010002638888888889,19.47516400567571,4.828135454689361e22
0.0001000267361111111,18.057359354013037,5.198762346594861e22
0.00010002708333333333,16.50355324845702,5.5959344179253225e22
0.00010002743055555555,14.821953769027735,6.021568509133786e22
0.00010002777777777777,13.020176738571955,6.4777490684507805e22
0.00010002812499999999,11.105329336745848,6.966748481787423e22
0.00010002847222222222,9.084088522473895,7.491050506580558e22
0.00010002881944444444,6.9627750600128575,8.05337734441677e22
0.00010002916666666666,4.747423875114456,8.656720991554066e22
0.00010002951388888888,2.443851411867978,9.30437963270238e22
0.0001000298611111111,0.057720606790651316,9.999999999999986e22
