x,n,p,Ec,Ev,EFn,EFp
0.0,7.427937285981693e6,5.999999999999909e24,-0.014219797784567056,1.105780202215433,-0.0,-0.0
1.736111111111111e-8,7.4504637454603845e6,5.981859014218386e24,-0.014298079646896333,1.1057019203531038,-0.0,-0.0
3.472222222222222e-8,7.455890293537295e6,5.977505295983309e24,-0.014316902106842555,1.1056830978931576,-0.0,-0.0
5.208333333333333e-8,7.462366821779e6,5.97231746713639e24,-0.014339348591836831,1.1056606514081633,-0.0,-0.0
6.944444444444444e-8,7.4703415565927485e6,5.965941902155413e24,-0.014366960845030086,1.10563303915497,-0.0,-0.0
8.680555555555555e-8,7.480163422297694e6,5.95810829253242e24,-0.014400928247066958,1.1055990717529331,-0.0,-0.0
1.0416666666666667e-7,7.492260281689468e6,5.948488445444122e24,-0.014442702121576723,1.1055572978784234,-0.0,-0.0
1.2152777777777777e-7,7.507159086328466e6,5.936682998639696e24,-0.014494059312354146,1.105505940687646,-0.0,-0.0
1.3888888888888888e-7,7.525508846746697e6,5.922207338199628e24,-0.014557172292716025,1.105442827707284,-0.0,-0.0
1.5624999999999999e-7,7.548108906780731e6,5.904475447598927e24,-0.014634692791712034,1.105365307208288,-0.0,-0.0
1.736111111111111e-7,7.57594376800978e6,5.88278174715091e24,-0.014729850836250336,1.1052701491637498,-0.0,-0.0
1.909722222222222e-7,7.610225982265818e6,5.856281248381567e24,-0.014846570893475075,1.105153429106525,-0.0,-0.0
2.0833333333333333e-7,7.652448981967277e6,5.8239687479017e24,-0.014989606339936401,1.1050103936600637,-0.0,-0.0
2.2569444444444444e-7,7.704452151617077e6,5.784658381781941e24,-0.01516469258393105,1.104835307416069,-0.0,-0.0
2.4305555555555555e-7,7.768500978102139e6,5.73696570825142e24,-0.015378717623879545,1.1046212823761206,-0.0,-0.0
2.604166666666666e-7,7.8473857758834325e6,5.679295626430737e24,-0.01563990639331614,1.104360093606684,-0.0,-0.0
2.7777777777777776e-7,7.944543294760985e6,5.609840875973268e24,-0.015958011652965176,1.104041988347035,-0.0,-0.0
2.951388888888889e-7,8.064206518408914e6,5.526597516339755e24,-0.016344499203315266,1.1036555007966848,-0.0,-0.0
3.1249999999999997e-7,8.211589195576569e6,5.427405421096497e24,-0.01681270870326035,1.1031872912967398,-0.0,-0.0
3.298611111111111e-7,8.393113167460283e6,5.310022970818071e24,-0.017377963597645874,1.1026220364023542,-0.0,-0.0
3.472222222222222e-7,8.616688432094099e6,5.172245006549277e24,-0.018057595343144328,1.1019424046568558,-0.0,-0.0
3.645833333333333e-7,8.892058203757094e6,5.012070624668074e24,-0.01887083988629268,1.1011291601137074,-0.0,-0.0
3.819444444444444e-7,9.231224086758902e6,4.827921334919892e24,-0.019838560856721088,1.100161439143279,-0.0,-0.0
3.9930555555555553e-7,9.64897001844709e6,4.6188995955717954e24,-0.0209827578456645,1.0990172421543356,-0.0,-0.0
4.1666666666666667e-7,1.0163508007882081e7,4.3850630787446954e24,-0.02232583342787109,1.097674166572129,-0.0,-0.0
4.3402777777777775e-7,1.0797274106924923e7,4.127673640081599e24,-0.02388962208008838,1.0961103779199117,-0.0,-0.0
4.513888888888889e-7,1.1577909753782637e7,3.849366998333098e24,-0.02569422729075921,1.094305772709241,-0.0,-0.0
4.6874999999999996e-7,1.25394719457597e7,3.554186644275759e24,-0.02775676378465075,1.0922432362153494,-0.0,-0.0
4.861111111111111e-7,1.3723926033878813e7,3.247439807375096e24,-0.03009014746576355,1.0899098525342366,-0.0,-0.0
5.034722222222222e-7,1.5182987803668935e7,2.9353658378833754e24,-0.03270210018408992,1.0872978998159102,-0.0,-0.0
5.208333333333333e-7,1.6980397575409096e7,2.624651367435134e24,-0.035594525776288855,1.0844054742237113,-0.0,-0.0
5.381944444444444e-7,1.9194729177253775e7,2.321867805704882e24,-0.038763363717673194,1.081236636282327,-0.0,-0.0
