x,n,p,Ec,Ev,EFn,EFp
0.0,9.289051095638001e6,4.7978661390739713e24,-0.019999999999999574,1.1000000000000005,1.2147239914226533e-21,1.6166319075511192e-16
5.208333333333333e-9,7.593820487216466e6,5.868933008215719e24,-0.014790781137772768,1.1052092188622273,-0.0,-0.0
1.0416666666666666e-8,7.461481832560439e6,5.973025829990692e24,-0.014336282527358968,1.1056637174726411,-0.0,-0.0
1.5625e-8,7.451271156867798e6,5.981210826667041e24,-0.014300881092458084,1.105699118907542,-0.0,-0.0
2.083333333333333e-8,7.451696728339503e6,5.980869235645979e24,-0.01430235755992193,1.1056976424400782,-0.0,-0.0
2.6041666666666663e-8,7.453134855303977e6,5.979715191141808e24,-0.0143073463392831,1.105692653660717,-0.0,-0.0
3.125e-8,7.454751733543026e6,5.978418236968966e24,-0.01431295404709676,1.1056870459529033,-0.0,-0.0
3.645833333333333e-8,7.456480401482729e6,5.977032234541538e24,-0.014318948122301833,1.1056810518776983,-0.0,-0.0
4.166666666666666e-8,7.4583212152502285e6,5.975557022773584e24,-0.014325329530326947,1.1056746704696732,-0.0,-0.0
4.6874999999999995e-8,7.460280809101976e6,5.973987421695254e24,-0.01433212097365999,1.1056678790263401,-0.0,-0.0
5.2083333333333327e-8,7.462366791472416e6,5.972317491391496e24,-0.01433934848684526,1.1056606515131548,-0.0,-0.0
5.729166666666666e-8,7.464587309227536e6,5.970540884530385e24,-0.014347039918676252,1.1056529600813239,-0.0,-0.0
6.25e-8,7.466951038840128e6,5.968650856831174e24,-0.014355224894199381,1.1056447751058007,-0.0,-0.0
6.770833333333333e-8,7.469467216743753e6,5.966640246574159e24,-0.014363934911571619,1.1056360650884285,-0.0,-0.0
7.291666666666666e-8,7.472145675115224e6,5.964501450274835e24,-0.014373203456606198,1.105626796543394,-0.0,-0.0
7.812499999999999e-8,7.474996880269775e6,5.962226396846477e24,-0.014383066125095212,1.105616933874905,-0.0,-0.0
8.333333333333333e-8,7.478031973558589e6,5.959806520415422e24,-0.014393560752357537,1.1056064392476426,-0.0,-0.0
8.854166666666666e-8,7.481262814907694e6,5.957232731763036e24,-0.014404727550304308,1.1055952724496958,-0.0,-0.0
9.374999999999999e-8,7.484702029163096e6,5.95449538835856e24,-0.014416609252378088,1.105583390747622,-0.0,-0.0
9.895833333333332e-8,7.488363055428249e6,5.951584262942879e24,-0.01442925126676542,1.1055707487332347,-0.0,-0.0
1.0416666666666665e-7,7.492260199580996e6,5.948488510634214e24,-0.014442701838262018,1.105557298161738,-0.0,-0.0
1.0937499999999999e-7,7.496408690180747e6,5.94519663452543e24,-0.014457012219207144,1.105542987780793,-0.0,-0.0
1.1458333333333332e-7,7.500824737978864e6,5.941696449755816e24,-0.014472236849880638,1.1055277631501195,-0.0,-0.0
1.1979166666666665e-7,7.505525599271012e6,5.937975046040529e24,-0.014488433548793367,1.1055115664512067,-0.0,-0.0
1.25e-7,7.510529643332688e6,5.934018748658237e24,-0.014505663713269001,1.105494336286731,-0.0,-0.0
1.302083333333333e-7,7.515856424206966e6,5.929813077901118e24,-0.014523992530746987,1.1054760074692531,-0.0,-0.0
1.3541666666666666e-7,7.521526757123302e6,5.925342707008489e24,-0.014543489201214399,1.1054565107987857,-0.0,-0.0
1.4062499999999998e-7,7.527562799841792e6,5.920591418623068e24,-0.014564227171155686,1.1054357728288444,-0.0,-0.0
