x,n,p,Ec,Ev,EFn,EFp
0.0,7.427937285981693e6,5.999999999999909e24,-0.014219797784567056,1.105780202215433,2.9224116121054463e-28,-1.2157607601252228e-26
1.736111111111111e-8,8.478413622381539e15,5.981859022688457e24,-0.01429808449310599,1.1057019155068941,0.5390791546630485,-4.8828149279864636e-9
3.472222222222222e-8,1.6385919093044186e16,5.977505312372036e24,-0.01431691180314143,1.1056830881968587,0.5560941845395531,-9.767177910318983e-9
5.208333333333333e-8,2.373548871259765e16,5.972317490873195e24,-0.014339363136907757,1.1056606368630923,0.5656511650480796,-1.4647818554962929e-8
6.944444444444444e-8,3.0531144687925292e16,5.965941932685534e24,-0.014366980238302851,1.1056330197616973,0.5721324599526175,-1.952556820819205e-8
8.680555555555555e-8,3.677738709314938e16,5.958108329305875e24,-0.01440095248902118,1.105599047510979,0.5769104723084171,-2.4401512516115577e-8
1.0416666666666667e-7,4.24796174510894e16,5.948488487916473e24,-0.014442731213981652,1.1055572687860185,0.580595031761099,-2.9276988433706476e-8
1.2152777777777777e-7,4.764432610809265e16,5.936683046272646e24,-0.01449409325856621,1.105505906741434,0.583509906900315,-3.415363519802221e-8
1.3888888888888888e-7,5.227930306601388e16,5.92220739046205e24,-0.014557211098040312,1.1054427889019598,0.5858468114026758,-3.903346401531771e-8
1.5624999999999999e-7,5.639387722275814e16,5.904475503969709e24,-0.01463473646384994,1.1053652635361502,0.5877278344418628,-4.391895013486289e-8
1.736111111111111e-7,5.999918385433229e16,5.882781807118904e24,-0.014729899385850231,1.1052701006141499,0.5892347294335628,-4.881313041729114e-8
1.909722222222222e-7,6.3108458262770424e16,5.856281311449321e24,-0.0148466243348091,1.105153375665191,0.5904241469465742,-5.3719740426338864e-8
2.0833333333333333e-7,6.573735090022443e16,5.823968813586004e24,-0.014989664691737126,1.105010335308263,0.5913361904227964,-5.864336663677512e-8
2.2569444444444444e-7,6.790425576544765e16,5.784658449618427e24,-0.015164755870415547,1.1048352441295846,0.591999516791861,-6.358965024136988e-8
2.4305555555555555e-7,6.963063934005522e16,5.736965777796456e24,-0.015378785876017709,1.1046212141239824,0.5924345266098877,-6.856552272410748e-8
2.604166666666666e-7,7.094135175358231e16,5.679295697263975e24,-0.01563997965039121,1.104360020349609,0.5926554419497222,-7.357950574245306e-8
