x,n,p,Ec,Ev,EFn,EFp
0.0,1.0831416325801428e21,5.821627719171412e24,0.26266666666666705,-0.8573333333333331,7.91741237980965e-6,-0.8423333333179464
5.208333333333333e-9,1.0560988452868969e21,5.970697941049619e24,0.2633203068046779,-0.8566796931953222,7.916800794349158e-6,-0.8423333333107972
1.0416666666666666e-8,1.0539339324532735e21,5.982962157914693e24,0.2633733541032326,-0.8566266458967675,7.915306607970502e-6,-0.8423333333032643
1.5625e-8,1.0539200246471762e21,5.983040611319871e24,0.2633736931010775,-0.8566263068989226,7.913156909283532e-6,-0.8423333332953815
2.083333333333333e-8,1.0541048268115888e21,5.981991065423953e24,0.26336915774969416,-0.856630842250306,7.910489781106486e-6,-0.8423333332872142
2.6041666666666663e-8,1.0543189552895082e21,5.98077542475576e24,0.2633639036653408,-0.8566360963346593,7.90738906015805e-6,-0.8423333332788069
3.125e-8,1.0545484066852688e21,5.979473304639175e24,0.263358274625622,-0.8566417253743781,7.903906988897485e-6,-0.842333333270189
3.645833333333333e-8,1.0547927842463723e21,5.978087075721701e24,0.26335228063754634,-0.8566477193624538,7.90008182483293e-6,-0.8423333332613795
4.166666666666666e-8,1.0550529313967824e21,5.97661208318193e24,0.263345901312932,-0.8566540986870681,7.89593816485874e-6,-0.8423333332523929
4.6874999999999995e-8,1.0553298563038934e21,5.975042755665759e24,0.26333911226142437,-0.8566608877385757,7.891497224093536e-6,-0.8423333332432401
5.2083333333333327e-8,1.0556246414110468e21,5.973373120078363e24,0.2633318873097741,-0.856668112690226,7.886771859615155e-6,-0.8423333332339283
5.729166666666666e-8,1.0559384397605744e21,5.971596827249637e24,0.26332419860635525,-0.8566758013936449,7.88177440903893e-6,-0.842333333224463
6.25e-8,1.0562724787477642e21,5.969707133865434e24,0.2633160165357644,-0.8566839834642357,7.876515918000433e-6,-0.8423333332148505
6.770833333333333e-8,1.0566280647592382e21,5.967696879491087e24,0.2633073096112337,-0.8566926903887664,7.871003867561276e-6,-0.8423333332050944
7.291666666666666e-8,1.0570065884090469e21,5.965558462031746e24,0.26329804435918636,-0.8567019556408138,7.865245558794568e-6,-0.8423333331951977
7.812499999999999e-8,1.0574095299712474e21,5.963283811882463e24,0.26328818519688113,-0.856711814803119,7.859248120498577e-6,-0.8423333331851651
8.333333333333333e-8,1.0578384651612759e21,5.960864364745929e24,0.2632776943029116,-0.8567223056970885,7.8530184724657e-6,-0.8423333331749979
8.854166666666666e-8,1.0582950712246686e21,5.958291033083119e24,0.2632665314802045,-0.8567334685197956,7.846561688338459e-6,-0.8423333331647
9.374999999999999e-8,1.0587811335626818e21,5.955554176149995e24,0.2632546540111349,-0.8567453459888652,7.839882769191958e-6,-0.842333333154274
9.895833333333332e-8,1.0592985527079734e21,5.952643568589616e24,0.2632420165043854,-0.8567579834956147,7.832986648970443e-6,-0.84233333314372
1.0416666666666665e-7,1.0598493517500614e21,5.949548367545147e24,0.26322857073314765,-0.8567714292668525,7.82587819532019e-6,-0.8423333331330416
1.0937499999999999e-7,1.0604356842396828e21,5.946257078265185e24,0.2632142654642742,-0.8567857345357259,7.818562215258862e-6,-0.84233333312224
1.1458333333333332e-7,1.061059842595447e21,5.942757518183417e24,0.26319904627795054,-0.8568009537220496,7.811043266837814e-6,-0.8423333331113178
1.1979166666666665e-7,1.0617242670380514e21,5.939036779457354e24,0.2631828553775053,-0.8568171446224948,7.803325115473757e-6,-0.842333333100275
1.25e-7,1.0624315551561847e21,5.935081189965996e24,0.263165631388917,-0.8568343686110831,7.795411509933621e-6,-0.842333333089114
1.302083333333333e-7,1.0631844720564202e21,5.930876272769267e24,0.2631473091496117,-0.8568526908503884,7.787306186754448e-6,-0.8423333330778355
1.3541666666666666e-7,1.0639859611669424e21,5.926406704052664e24,0.2631278194861455,-0.8568721805138546,7.779012873968728e-6,-0.8423333330664404
1.4062499999999998e-7,1.0648391557379326e21,5.921656269595393e24,0.26310708898036683,-0.8568929110196333,7.770535290430291e-6,-0.84233333305493
1.4583333333333332e-7,1.0657473910844867e21,5.916607819805814e24,0.26308503972365216,-0.856914960276348,7.761877154228067e-6,-0.8423333330433049
1.5104166666666664e-7,1.0667142176182614e21,5.91124322340974e24,0.2630615890588679,-0.8569384109411322,7.75304218314687e-6,-0.8423333330315652
1.5624999999999999e-7,1.067743414717054e21,5.905543319878278e24,0.26303664930968207,-0.856963350690318,7.74403403194443e-6,-0.8423333330197138
1.614583333333333e-7,1.0688390054729885e21,5.899487870718038e24,0.26301012749690944,-0.8569898725030907,7.73485583193817e-6,-0.8423333330077497
1.6666666666666665e-7,1.0700052724339919e21,5.893055509786119e24,0.2629819250416192,-0.8570180749583809,7.725510742982319e-6,-0.8423333329956726
1.71875e-7,1.071246774337582e21,5.886223692801795e24,0.26295193745473977,-0.8570480625452603,7.716001961978897e-6,-0.8423333329834835
1.7708333333333331e-7,1.07256836392269e21,5.878968646291216e24,0.2629200540129988,-0.8570799459870013,7.706332721127433e-6,-0.8423333329711826
1.8229166666666666e-7,1.0739752068909526e21,5.871265316223039e24,0.2628861574210646,-0.8571138425789355,7.69650629903575e-6,-0.8423333329587696
1.8749999999999998e-7,1.0754728020904242e21,5.863087316656659e24,0.2628501234598559,-0.8571498765401442,7.686526019364145e-6,-0.8423333329462455
1.9270833333333332e-7,1.0770670030011518e21,5.854406878762603e24,0.26281182062106634,-0.8571881793789338,7.676395258729645e-6,-0.8423333329336079
1.9791666666666664e-7,1.0787640406061284e21,5.845194800649069e24,0.2627711097280656,-0.8572288902719345,7.666117451077932e-6,-0.8423333329208588
2.03125e-7,1.0805705477375242e21,5.83542039847374e24,0.2627278435434519,-0.8572721564565482,7.655696091959632e-6,-0.8423333329079958
2.083333333333333e-7,1.0824935849924611e21,5.825051459413322e24,0.2626818663636863,-0.8573181336363138,7.645134745136964e-6,-0.8423333328950195
2.1354166666666665e-7,1.0845406683208792e21,5.814054197112782e24,0.26263301360137614,-0.857366986398624,7.634437048705832e-6,-0.8423333328819299
2.1874999999999997e-7,1.0867197983795518e21,5.802393210348167e24,0.2625811113559928,-0.8574188886440073,7.62360643578572e-6,-0.8423333328687251
2.2395833333333332e-7,1.0890394918033517e21,5.790031445701926e24,0.26252597597398264,-0.8574740240260175,7.612646404776871e-6,-0.8423333328554042
2.2916666666666663e-7,1.091508814482616e21,5.776930165158062e24,0.2624674135994658,-0.8575325864005343,7.601560553596542e-6,-0.8423333328419668
2.3437499999999998e-7,1.094137416984861e21,5.763048919624657e24,0.26240521971700037,-0.8575947802829997,7.590352586227837e-6,-0.8423333328284099
2.395833333333333e-7,1.0969355722605665e21,5.748345529494613e24,0.26233917868814416,-0.857660821311856,7.579026319702383e-6,-0.8423333328147333
2.447916666666666e-7,1.0999142157809304e21,5.732776073468578e24,0.262269063283866,-0.8577309367161341,7.56758568912318e-6,-0.8423333328009343
2.5e-7,1.1030849882632149e21,5.716294886980644e24,0.2621946342152288,-0.8578053657847713,7.556034759135756e-6,-0.842333332787012
2.552083333333333e-7,1.1064602811497018e21,5.698854571682057e24,0.26211563966511164,-0.8578843603348885,7.544377694529871e-6,-0.8423333327729635
2.604166666666666e-7,1.1100532850170616e21,5.680406017555166e24,0.2620318148241543,-0.8579681851758458,7.532618676067471e-6,-0.8423333327587872
2.65625e-7,1.1138780411156596e21,5.660898439349841e24,0.26194288143457456,-0.8580571185654255,7.520762030851894e-6,-0.842333332744479
2.708333333333333e-7,1.1179494962277688e21,5.640279429139059e24,0.2618485473459282,-0.8581514526540719,7.508812249867731e-6,-0.8423333327300377
2.7604166666666664e-7,1.1222835610608157e21,5.618495026897344e24,0.26174850608743583,-0.8582514939125643,7.496773988647575e-6,-0.8423333327154596
2.8124999999999995e-7,1.1268971724067044e21,5.595489811093543e24,0.26164243646197605,-0.8583575635380241,7.484652076830857e-6,-0.8423333327007407
2.864583333333333e-7,1.1318083593070833e21,5.571207011370554e24,0.2615300021674374,-0.8584699978325627,7.47245152279511e-6,-0.8423333326858782
2.9166666666666664e-7,1.1370363134852293e21,5.54558864542423e24,0.2614108514516431,-0.858589148548357,7.460177523925697e-6,-0.8423333326708679
2.9687499999999996e-7,1.1426014643147169e21,5.518575682233039e24,0.26128461680767856,-0.8587153831923215,7.447835421093408e-6,-0.8423333326557045
3.020833333333333e-7,1.1485255586227297e21,5.49010823377239e24,0.2611509147169997,-0.8588490852830004,7.435430698212017e-6,-0.8423333326403849
3.0729166666666665e-7,1.154831745639783e21,5.460125777299522e24,0.2610093454482909,-0.8589906545517092,7.422969047997722e-6,-0.8423333326249031
3.1249999999999997e-7,1.1615446674209825e21,5.428567410194061e24,0.26085949292057364,-0.8591405070794265,7.410456376478383e-6,-0.842333332609253
3.177083333333333e-7,1.1686905550946674e21,5.395372139187815e24,0.2607009246396039,-0.8592990753603962,7.3978988094444815e-6,-0.84233333259343
3.229166666666666e-7,1.1762973313118097e21,5.360479205590503e24,0.2605331917170526,-0.8594668082829475,7.385302693621924e-6,-0.8423333325774267
