x,n,p,Ec,Ev,EFn,EFp
0.0,2.6252078849685156e19,4.7978661620893106e24,-0.7609999999999992,0.3590000000000009,0.0001750214206284018,-0.7410000001240116
5.208333333333333e-9,2.1461040116486545e19,5.868952508371668e24,-0.7557906954157962,0.36420930458420386,0.00017499354431406325,-0.7410000001739077
1.0416666666666666e-8,2.1086970502272274e19,5.973046803946893e24,-0.7553361919676886,0.36466380803231147,0.00017491889986793004,-0.7410000002180649
1.5625e-8,2.10580256445298e19,5.981231880114572e24,-0.7553007903568147,0.36469920964318536,0.0001748105977156565,-0.7410000002614437
2.083333333333333e-8,2.105911878073633e19,5.980890294876462e24,-0.7553022668371492,0.3646977331628509,0.0001746760771635419,-0.7410000003045082
2.6041666666666663e-8,2.1063055566835528e19,5.979736254303747e24,-0.755307255624774,0.36469274437522614,0.0001745196038844426,-0.7410000003473363
3.125e-8,2.10674817080983e19,5.978439304523524e24,-0.7553128633364645,0.3646871366635356,0.00017434380029705224,-0.7410000003899619
3.645833333333333e-8,2.1072209511717626e19,5.977053306821029e24,-0.7553188574125507,0.36468114258744944,0.00017415058203045143,-0.7410000004324051
4.166666666666666e-8,2.1077240971215426e19,5.97557810008793e24,-0.7553252388185685,0.3646747611814316,0.0001739411801072242,-0.7410000004746806
4.6874999999999995e-8,2.1082595683487937e19,5.974008504368425e24,-0.7553320302568727,0.36466796974312743,0.00017371665630089232,-0.7410000005167998
5.2083333333333327e-8,2.1088295656080024e19,5.972338579769359e24,-0.7553392577618263,0.3646607422381738,0.00017347765391098835,-0.7410000005587716
5.729166666666666e-8,2.109436439558681e19,5.970561978982177e24,-0.7553469491820257,0.3646530508179744,0.00017322479037553708,-0.7410000006006019
6.25e-8,2.1100826850875482e19,5.968671957750995e24,-0.7553551341423077,0.3646448658576924,0.00017295861842529515,-0.7410000006422984
6.770833333333333e-8,2.110770940579024e19,5.966661354382347e24,-0.7553638441406036,0.36463615585939646,0.0001726795123399199,-0.7410000006838652
7.291666666666666e-8,2.1115040118320603e19,5.964522565420071e24,-0.7553731126624843,0.3646268873375158,0.00017238783743443598,-0.7410000007253063
7.812499999999999e-8,2.1122848829182595e19,5.962247519807125e24,-0.755382975303486,0.36461702469651414,0.0001720839503792214,-0.741000000766628
8.333333333333333e-8,2.1131167275805598e19,5.95982765170137e24,-0.7553934698986522,0.3646065301013479,0.00017176819750664132,-0.741000000807833
8.854166666666666e-8,2.114002914796121e19,5.95725387191839e24,-0.755404636659601,0.3645953633403991,0.00017144083263872863,-0.7410000008489263
9.374999999999999e-8,2.1149470291115586e19,5.954516537963392e24,-0.7554165183194606,0.36458348168053956,0.0001711021060420427,-0.7410000008899108
9.895833333333332e-8,2.1159528845738828e19,5.951605422614983e24,-0.7554291602860843,0.3645708397139158,0.00017075226460068667,-0.7410000009307902
1.0416666666666665e-7,2.1170245395564704e19,5.948509681031934e24,-0.7554426108039118,0.36455738919608827,0.00017039155198419863,-0.7410000009715674
1.0937499999999999e-7,2.1181663125426225e19,5.945217816350893e24,-0.7554569211249014,0.36454307887509874,0.00017002020883082945,-0.7410000010122474
1.1458333333333332e-7,2.119382798134342e19,5.941717643756318e24,-0.7554721456889277,0.3645278543110724,0.0001696384632824429,-0.7410000010528325
1.1979166666666665e-7,2.1206788826936644e19,5.93799625301338e24,-0.7554883423140666,0.3645116576859335,0.00016924650388579625,-0.7410000010933268
1.25e-7,2.1220597665401983e19,5.934039969451884e24,-0.7555055723971806,0.36449442760281947,0.00016884451843046498,-0.7410000011337325
1.302083333333333e-7,2.1235309842067313e19,5.929834313419685e24,-0.7555239011252155,0.3644760988747846,0.00016843269409975168,-0.741000001174054
1.3541666666666666e-7,2.1250984260034085e19,5.925363958215209e24,-0.7555433976976298,0.3644566023023703,0.00016801121763720486,-0.7410000012142942
1.4062499999999998e-7,2.1267683609694736e19,5.920612686543614e24,-0.7555641355603475,0.3644358644396526,0.00016758027551129338,-0.7410000012544563
1.4583333333333332e-7,2.1285474613061812e19,5.915563345542114e24,-0.7555861926516405,0.3644138073483596,0.0001671400540938838,-0.7410000012945432
1.5104166666666664e-7,2.1304428283844997e19,5.910197800453412e24,-0.7556096516603086,0.3643903483396915,0.00016669073983966367,-0.7410000013345601
1.5624999999999999e-7,2.1324620201520947e19,5.904496887040425e24,-0.7556346002965055,0.3643653997034946,0.00016623251612098248,-0.7410000013745094
1.614583333333333e-7,2.1346130786773217e19,5.89844036286455e24,-0.7556611315755459,0.3643388684244542,0.00016576554012542026,-0.7410000014143958
1.6666666666666665e-7,2.136904563785545e19,5.892006857579817e24,-0.7556893441149724,0.36431065588502776,0.00016528997063347542,-0.7410000014542215
