x,n,p
7.002509576836555e-6,9.999999999999945e21,6.8033924173145625e-6
7.757928791215377e-6,9.999999999999945e21,6.8033924173145625e-6
8.536149236850107e-6,9.999999999999945e21,6.8033924173145625e-6
9.337859135772817e-6,9.999999999999945e21,6.8033924173145625e-6
1.0163767482997532e-5,9.999999999999945e21,6.8033924173145625e-6
1.1014604673522507e-5,9.999999999999945e21,6.8033924173145625e-6
1.1891123148257654e-5,9.999999999999945e21,6.8033924173145625e-6
1.2794098059448348e-5,9.999999999999945e21,6.8033924173145625e-6
1.3724327956184083e-5,9.999999999999945e21,6.8033924173145625e-6
1.468263549059822e-5,9.999999999999945e21,6.8033924173145625e-6
1.5669868145383332e-5,9.999999999999945e21,6.8033924173145625e-6
1.668689898326556e-5,9.999999999999945e21,6.8033924173145625e-6
1.773462741910075e-5,9.999999999999945e21,6.8033924173145625e-6
1.8813980015275194e-5,9.999999999999945e21,6.8033924173145625e-6
1.992591130111439e-5,9.999999999999945e21,6.8033924173145625e-6
2.107140461702446e-5,9.999999999999945e21,6.8033924173145625e-6
2.2251472984112757e-5,9.999999999999945e21,6.8033924173145625e-6
2.3467160000056692e-5,9.999999999999945e21,6.8033924173145625e-6
2.4719540762013078e-5,9.999999999999945e21,6.8033924173145625e-6
2.600972281738414e-5,9.999999999999945e21,6.8033924173145625e-6
2.733884714328102e-5,9.999999999999945e21,6.8033924173145625e-6
2.8708089155550947e-5,9.999999999999945e21,6.8033924173145625e-6
3.011865974826047e-5,9.999999999999945e21,6.8033924173145625e-6
3.157180636455394e-5,9.999999999999945e21,6.8033924173145625e-6
3.306881409983429e-5,9.999999999999945e21,6.8033924173145625e-6
3.4611006838241776e-5,9.999999999999945e21,6.8033924173145625e-6
3.619974842343565e-5,9.999999999999945e21,6.8033924173145625e-6
3.783644386471415e-5,9.999999999999945e21,6.8033924173145625e-6
3.952254057953951e-5,9.999999999999945e21,6.8033924173145625e-6
4.125952967356676e-5,9.999999999999945e21,6.8033924173145625e-6
4.304894725930834e-5,9.999999999999945e21,6.8033924173145625e-6
4.489237581460069e-5,9.999999999999945e21,6.8033924173145625e-6
4.679144558207418e-5,9.999999999999945e21,6.8033924173145625e-6
4.874783601086402e-5,9.999999999999945e21,6.8033924173145625e-6
5.076327724183707e-5,9.999999999999945e21,6.8033924173145625e-6
5.283955163764813e-5,9.999999999999945e21,6.8033924173145625e-6
5.497849535897872e-5,9.999999999999945e21,6.8033924173145625e-6
5.718199998835231e-5,9.999999999999945e21,6.8033924173145625e-6
5.945201420296213e-5,9.999999999999945e21,6.8033924173145625e-6
6.179054549799078e-5,9.999999999999945e21,6.8033924173145625e-6
6.419966196194575e-5,9.999999999999945e21,6.8033924173145625e-6
6.668666666666666e-5,9.999999999999945e21,6.8033924173145625e-6
6.915503439202076e-5,9.999999999999945e21,6.8033924173145625e-6
7.147764148493718e-5,9.999999999999945e21,6.8033924173145625e-6
7.366405379363876e-5,9.999999999999945e21,6.8033924173145625e-6
7.572225761047082e-5,9.999999999999945e21,6.8033924173145625e-6
7.765977092155245e-5,9.999999999999945e21,6.8033924173145625e-6
7.948367086766979e-5,9.999999999999945e21,6.8033924173145625e-6
8.120061959489673e-5,9.999999999999945e21,6.8033924173145625e-6
8.281688858936741e-5,9.999999999999945e21,6.8033924173145625e-6
8.433838158508805e-5,9.999999999999945e21,6.8033924173145625e-6
8.577065612846325e-5,9.999999999999945e21,6.8033924173145625e-6
8.711894387830528e-5,9.999999999999945e21,6.8033924173145625e-6
8.838816971547631e-5,9.999999999999945e21,6.8033924173145625e-6
8.95829697319648e-5,9.999999999999945e21,6.8033924173145625e-6
9.070770816510505e-5,9.999999999999945e21,6.8033924173145625e-6
9.176649333879525e-5,9.999999999999945e21,6.8033924173145625e-6
9.27631926699422e-5,9.999999999999945e21,6.8033924173145625e-6
9.370144679494704e-5,9.999999999999945e21,6.8033924173145625e-6
9.45846828678313e-5,9.999999999999945e21,6.8033924173145625e-6
9.541612707857749e-5,9.999999999999945e21,6.8033924173145625e-6
9.61988164374098e-5,9.99999999999753e21,6.803392417316206e-6
9.693560986805929e-5,9.999999999226235e21,6.803392417840899e-6
9.762919865053376e-5,9.999999772783001e21,6.803392571899157e-6
9.828211625153676e-5,9.99994081108074e21,6.803432686097319e-6
9.889674757844293e-5,9.986333070920952e21,6.812703290585391e-6
9.94753376906318e-5,7.55675321973692e21,9.003062849194631e-6
0.00010002,470.50364520553313,1.4459808094244478e14
0.00010002,0.5075932853570728,1.1371428357261889e22
0.00010002021367521367,0.48213457117854175,1.1971887153737567e22
0.0001000204377490648,0.4569234032304257,1.2632447010279933e22
0.00010002067272760956,0.4320199298774578,1.3360635192692097e22
0.00010002091914153165,0.4074843420685229,1.4165110369061786e22
0.00010002117754734085,0.38337635400563697,1.5055859910912204e22
0.00010002144852862983,0.35975465484178115,1.60444363995892e22
0.00010002173269739212,0.33667633840581235,1.7144242171565314e22
0.00010002203069540435,0.3141963192137194,1.8370873005482032e22
0.00010002234319567559,0.2923667442137266,1.974253499517585e22
0.0001000226709039673,0.27123641074347155,2.1280552501206007e22
0.00010002301456038727,0.2508502020410741,2.3009990153884823e22
0.00010002337494106112,0.23124855228439037,2.496041865795835e22
0.0001000237528598851,0.21246695345158848,2.716686329472086e22
0.00010002414917036419,0.19453551626653906,2.9670986511052595e22
0.00010002456476753976,0.1774785971044691,3.252257327494847e22
0.00010002499999999999,0.1613352755862713,3.5776804905748194e22
0.00010002534722222221,0.14959276321845402,3.858515983581395e22
0.00010002569444444443,0.13876533158031523,4.159584107450044e22
0.00010002604166666665,0.12877490649247592,4.482286833889002e22
0.00010002638888888889,0.1195505124749349,4.828135454689361e22
0.0001000267361111111,0.11102759261241786,5.198762346594861e22
0.00010002708333333333,0.1031473968060745,5.5959344179253225e22
0.00010002743055555555,0.09585643126553883,6.021568509133786e22
0.00010002777777777777,0.08910596285949682,6.4777490684507805e22
0.00010002812499999999,0.08285157264044424,6.966748481787423e22
0.00010002847222222222,0.07705275346888461,7.491050506580558e22
0.00010002881944444444,0.07167254720861646,8.05337734441677e22
0.00010002916666666666,0.0666772174440721,8.656720991554066e22
0.00010002951388888888,0.062035954108943324,9.30437963270238e22
0.0001000298611111111,0.057720606790651316,9.999999999999986e22
